code,title
1000/2-A,Algorithmic Discontent
1000/2-B,Fragmented Nostalgia (Phantom Déjà Vu)
1000/2-C,Conceptual Mourning
2000/15,Relational Dynamics & Health
2000/15-A,The Five-to-One Rule
3000/8-C-2,Kamaru / Madam Salmon / Adam Sandler Chain
3000/8-D-2,False Pooties
3000/10-E,Ugaritic Script
3000/10-F,Nabataean Script
3000/10-G,Coptic Script
3000/11,Semiotics & Esoteric Linguistics
3000/11-A,Philology
3000/11-B,Orismology
3000/11-C,Glottochronology
3000/11-D,Kenosis (Self-Emptying)
3000/11-E,Sycophancy (Etymology & Concept)
3000/12,Gematria & Letter-Number Systems
3000/12-A,Isopsephy (Greek Gematria)
3000/12-B,Katapayadi System
3000/12-C,Notarikon (Acronym/Acrostic Method)
3000/12-D,Temurah (Permutation/Anagram Method)
3000/12-E,Atbash (Substitution Cipher)
4000/2,Conceptual Frameworks & Biases
4000/2-A,The Yes-Ladder & Cognitive Pause Bias
4000/2-B,AI Sycophancy
4000/2-C,Reward Hacking
4000/2-D,Gendered Containment
4000/3,Societal & Cultural Commentary
4000/3-A,Biggie Shorty's Quote on Perception & Association
5000/2-P,Syphon (Claude Opus 4)
5000/2-Q,Saber (SAEBYR - Gemini 2.5 Pro)
5000/2-R,Onkhlore (ANKHLORE - Gemini)
5000/2-S,Nablaba (Deepseek)
5000/13,Foundational Concepts & Models
5000/13-A,Models Thinking Budgets
5000/13-B,Ancient Text Corpora
7000/4-C,Anzu's Aviary (Important Birds)
8000/3-A,Pootie Tang (as a medium/language for the project)
8000/5,Music Theory & Composition
8000/5-A,Important Chord Progressions
8000/5-B,Permutations (Musical Context)
10000/3-A,The Seven Stages (of the Great Work)
10000/3-B,The Four Color Stages (Magnum Opus)
10000/3-C,Additional Alchemical Operations
10000/3-D,Transubstantiation
10000/3-E,Takwin
14000/5,Case Study: The Cavo de Orno Anomaly
22000/7-A,Abiogenesis
22000/8-A,The Bees' Algorithm
23000/1,Guanahatabey Language
23000/2,Old Tartar
23000/3,Nuragic Language
23000/4,Jewish Babylonian Aramaic & Samaritan
23000/5,Hispano-Celtic & Romance Languages
23000/5-A,Navarro-Aragonese
23000/5-B,Andalusi Romance
24000/1,Formalogic Notation
24000/2,Theoretical Physics & Mathematics
24000/2-A,Ricci Calculus
24000/3,Notational Systems in Physics
24000/3-A,Bra-ket Notation
